gene,meta_go_in_degree,meta_go_out_degree,meta_go_in_strength,meta_go_out_strength,meta_pathway_count,meta_is_perturbable
SMARCAD1,0.34891966,0.34891966,0.23306133,0.23306133,-1.0265216,0.0
TSPAN5,0.6693184,0.6693184,0.64591837,0.64591837,-0.44945776,0.0
H2AFZ,0.6118868,0.6118868,0.5987894,0.5987894,-1.0265216,0.0
PPP3CA,-3.094467,-3.094467,-2.1580563,-2.1580563,1.2817335,0.0
SLC9B1,-0.19639936,-0.19639936,-0.33719617,-0.33719617,0.12760599,0.0
CENPE,-0.40840515,-0.40840515,-0.49386552,-0.49386552,1.7476288,0.0
CXXC4,0.09834696,0.09834696,-0.032834556,-0.032834556,-0.111897096,0.0
TET2,0.055692773,0.055692773,-0.1194196,-0.1194196,0.31337905,0.0
GSTCD,1.2815092,1.2815092,1.5378193,1.5378193,-1.0265216,0.0
PAPSS1,-1.1010779,-1.1010779,-1.1856153,-1.1856153,0.7046697,0.0
RPL34,1.0913627,1.0913627,1.1901016,1.1901016,1.9334018,0.0
OSTC,0.66260153,0.66260153,0.7527862,0.7527862,1.6192942,0.0
CCDC109B,-1.2898228,-1.2898228,-1.3975137,-1.3975137,-1.0265216,0.0
EGF,-1.5105056,-1.5105056,-1.5595893,-1.5595893,2.3096917,0.0
ELOVL6,-0.6898267,-0.6898267,-0.8769639,-0.8769639,0.7046697,0.0
AP1AR,-1.4073584,-1.4073584,-1.482527,-1.482527,-1.0265216,0.0
ALPK1,0.25909856,0.25909856,0.22960722,0.22960722,1.5468549,0.0
C4orf21,0.18330374,0.18330374,0.0770153,0.0770153,-1.0265216,0.0
SEC24D,0.21588275,0.21588275,0.07521038,0.07521038,1.4248035,0.0
USP53,0.09834696,0.09834696,-0.03277152,-0.03277152,-1.0265216,0.0
MAD2L1,0.76452047,0.76452047,0.67393655,0.67393655,1.7476288,0.0
ANXA5,0.7482776,0.7482776,0.68877965,0.68877965,0.31337905,0.0
CCNA2,0.022962118,0.022962118,-0.17372367,-0.17372367,2.2944155,0.0
KIAA1109,0.7467823,0.7467823,0.69585085,0.69585085,-1.0265216,0.0
BBS12,-0.28790194,-0.28790194,-0.49172086,-0.49172086,0.12760599,0.0
ANKRD50,0.5630857,0.5630857,0.59502363,0.59502363,-1.0265216,0.0
HSPA4L,0.95403755,0.95403755,0.9965062,0.9965062,0.12760599,0.0
SLC7A11,-2.8091903,-2.8091903,-2.1150723,-2.1150723,1.108868,0.0
ELF2,1.3424953,1.3424953,1.597683,1.597683,-0.44945776,0.0
MGST2,0.43325174,0.43325174,0.35205734,0.35205734,0.12760599,0.0
CLGN,-1.0806828,-1.0806828,-1.1006231,-1.1006231,-1.0265216,0.0
IL15,-1.1660699,-1.1660699,-1.3332183,-1.3332183,0.31337905,0.0
SMARCA5,-0.6560483,-0.6560483,-0.849235,-0.849235,1.170565,0.0
GYPE,0.27975014,0.27975014,0.34083763,0.34083763,-1.0265216,0.0
GYPB,1.1332073,1.1332073,1.3814871,1.3814871,-0.111897096,0.0
GYPA,0.97599185,0.97599185,1.0681983,1.0681983,-0.111897096,0.0
ZNF827,0.73470324,0.73470324,0.7233345,0.7233345,-1.0265216,0.0
POU4F2,0.2884186,0.2884186,0.17827573,0.17827573,-0.111897096,0.0
RPS3A,1.1888585,1.1888585,1.2725745,1.2725745,2.142628,0.0
TMEM154,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
MND1,1.0913627,1.0913627,1.2492055,1.2492055,0.31337905,0.0
KIAA0922,0.75865704,0.75865704,0.7736295,0.7736295,-1.0265216,0.0
DCHS2,0.35154992,0.35154992,0.35341215,0.35341215,-1.0265216,0.0
CTSO,-0.85845536,-0.85845536,-0.876309,-0.876309,-0.111897096,0.0
PDGFC,-0.11035894,-0.11035894,-0.3499017,-0.3499017,-0.111897096,0.0
FNIP2,0.6792748,0.6792748,0.57612765,0.57612765,0.12760599,0.0
MARCH1,0.13141948,0.13141948,0.010410636,0.010410636,-1.0265216,0.0
MSMO1,0.79870915,0.79870915,0.85773426,0.85773426,0.12760599,0.0
DDX60L,-0.43199095,-0.43199095,-0.5658402,-0.5658402,-1.0265216,0.0
SH3RF1,0.051683635,0.051683635,-0.12491153,-0.12491153,0.7046697,0.0
CLCN3,-0.82973385,-0.82973385,-1.0724363,-1.0724363,0.12760599,0.0
GALNT7,0.5251532,0.5251532,0.5003853,0.5003853,-0.111897096,0.0
HMGB2,-0.08549491,-0.08549491,-0.30991364,-0.30991364,0.12760599,0.0
SCRG1,0.65240455,0.65240455,0.6724433,0.6724433,-1.0265216,0.0
HPGD,-1.2632694,-1.2632694,-1.4297976,-1.4297976,0.31337905,0.0
SPCS3,0.60642564,0.60642564,0.6644145,0.6644145,1.5468549,1.0
AGA,0.68256265,0.68256265,0.6545964,0.6545964,-0.44945776,0.0
WWC2,-0.19639936,-0.19639936,-0.40777907,-0.40777907,-1.0265216,0.0
IRF2,1.072773,1.072773,1.3351766,1.3351766,0.8904428,0.0
CASP3,-1.9621004,-1.9621004,-1.7654308,-1.7654308,1.4675065,0.0
CENPU,1.4242226,1.4242226,1.6273284,1.6273284,1.5081258,0.0
ACSL1,-1.0608624,-1.0608624,-1.1108834,-1.1108834,1.0422304,0.0
KIAA1430,-1.7775066,-1.7775066,-1.6246612,-1.6246612,-1.0265216,0.0
TRIML2,0.9359672,0.9359672,0.9398921,0.9398921,-1.0265216,0.0
TRIML1,0.29413873,0.29413873,0.20977157,0.20977157,-1.0265216,0.0
SLC12A7,-1.0228219,-1.0228219,-1.0842818,-1.0842818,0.12760599,0.0
SLC6A19,0.14210694,0.14210694,-0.00069459225,-0.00069459225,0.5935012,0.0
KIAA0947,-0.32125324,-0.32125324,-0.51426107,-0.51426107,-1.0265216,0.0
NSUN2,-0.27499184,-0.27499184,-0.5029192,-0.5029192,-0.111897096,0.0
CMBL,0.027137658,0.027137658,-0.06309419,-0.06309419,-0.111897096,0.0
ROPN1L,0.5373544,0.5373544,0.4655143,0.4655143,-1.0265216,0.0
ZNF622,0.82598305,0.82598305,0.8177676,0.8177676,-1.0265216,0.0
FAM134B,-0.49904922,-0.49904922,-0.69566625,-0.69566625,-1.0265216,0.0
ZFR,1.2292068,1.2292068,1.3641441,1.3641441,-1.0265216,0.0
NPR3,-3.094467,-3.094467,-2.1580563,-2.1580563,-1.0265216,0.0
TARS,0.9705672,0.9705672,0.9928512,0.9928512,-1.0265216,1.0
AMACR,0.23472972,0.23472972,0.11350093,0.11350093,0.9697911,0.0
RAI14,0.9138878,0.9138878,0.93440455,0.93440455,-1.0265216,0.0
NIPBL,-1.5485461,-1.5485461,-1.639172,-1.639172,0.31337905,0.0
C5orf42,0.035415266,0.035415266,0.15167385,0.15167385,-1.0265216,0.0
RICTOR,-2.2130494,-2.2130494,-1.9171708,-1.9171708,1.6192942,0.0
PTGER4,-0.7887371,-0.7887371,-1.0230386,-1.0230386,0.5935012,0.0
RPL37,-0.28790194,-0.28790194,-0.2101991,-0.2101991,1.9334018,0.0
GHR,-1.1010779,-1.1010779,-1.2831541,-1.2831541,-0.111897096,0.0
SEPP1,-1.9621004,-1.9621004,-1.8153723,-1.8153723,-1.0265216,0.0
ANXA2R,0.8192631,0.8192631,1.0529499,1.0529499,-1.0265216,0.0
HMGCS1,-0.0026252293,-0.0026252293,-0.1656091,-0.1656091,0.80272734,0.0
PELO,0.20626654,0.20626654,0.008584509,0.008584509,0.12760599,0.0
ITGA2,-1.8950422,-1.8950422,-1.7483459,-1.7483459,1.3797911,0.0
FST,-0.27499184,-0.27499184,-0.52761954,-0.52761954,-0.111897096,0.0
GPX8,0.5897832,0.5897832,0.60885185,0.60885185,0.12760599,0.0
PPAP2A,-0.25606033,-0.25606033,-0.46981657,-0.46981657,-1.0265216,0.0
IL6ST,-1.7253656,-1.7253656,-1.6346526,-1.6346526,1.0422304,0.0
ANKRD55,0.9174205,0.9174205,1.3410503,1.3410503,-1.0265216,0.0
GPBP1,1.3775563,1.3775563,1.4969363,1.4969363,-1.0265216,0.0
PDE4D,-1.4400889,-1.4400889,-1.5335269,-1.5335269,0.8904428,0.0
KIF2A,0.4828835,0.4828835,0.38616246,0.38616246,1.7476288,0.0
PPWD1,-0.80213904,-0.80213904,-0.91116524,-0.91116524,0.31337905,1.0
ERBB2IP,-0.9693598,-0.9693598,-1.192478,-1.192478,-1.0265216,0.0
MAST4,-0.24371655,-0.24371655,-0.11936933,-0.11936933,-1.0265216,0.0
PIK3R1,-1.7253656,-1.7253656,-1.6980948,-1.6980948,3.0755503,0.0
CCNB1,0.48722678,0.48722678,0.35818338,0.35818338,2.2135239,0.0
CCDC125,0.95180416,0.95180416,1.0007398,1.0007398,-1.0265216,0.0
MAP1B,-1.8950422,-1.8950422,-1.8175455,-1.8175455,-0.111897096,0.0
HEXB,-1.7253656,-1.7253656,-1.715906,-1.715906,1.2817335,0.0
HMGCR,-0.10030758,-0.10030758,-0.23633517,-0.23633517,0.9697911,0.0
COL4A3BP,-1.0228219,-1.0228219,-1.2211897,-1.2211897,-1.0265216,0.0
IQGAP2,-0.23762502,-0.23762502,-0.38086298,-0.38086298,0.8904428,0.0
F2RL2,0.13856246,0.13856246,0.00038549185,0.00038549185,0.8904428,0.0
F2R,-1.7775066,-1.7775066,-1.6888981,-1.6888981,1.0422304,0.0
F2RL1,-2.2130494,-2.2130494,-1.9128695,-1.9128695,0.5935012,0.0
S100Z,0.6191032,0.6191032,0.6913082,0.6913082,-1.0265216,0.0
AGGF1,0.50644547,0.50644547,0.43279776,0.43279776,0.12760599,0.0
AP3B1,-2.2130494,-2.2130494,-1.8820002,-1.8820002,0.7046697,0.0
ARSB,-1.3760831,-1.3760831,-1.4563106,-1.4563106,1.108868,0.0
DMGDH,-0.77558565,-0.77558565,-0.95281917,-0.95281917,-0.44945776,0.0
CMYA5,0.49369138,0.49369138,0.42455003,0.42455003,-1.0265216,0.0
SERINC5,-0.16288936,-0.16288936,-0.35949185,-0.35949185,-0.111897096,0.0
ZFYVE16,0.3923485,0.3923485,0.28298223,0.28298223,-0.111897096,0.0
DHFR,-2.449784,-2.449784,-1.9101213,-1.9101213,0.8904428,0.0
SSBP2,0.66260153,0.66260153,0.7187459,0.7187459,-1.0265216,0.0
RPS23,0.94506043,0.94506043,0.9880211,0.9880211,2.1609259,0.0
TMEM167A,0.71462166,0.71462166,0.781141,0.781141,-1.0265216,1.0
RASA1,-1.4744167,-1.4744167,-1.5787493,-1.5787493,1.332205,0.0
MEF2C,-0.52594095,-0.52594095,-0.7642023,-0.7642023,1.9568548,0.0
ARRDC3,-0.015776537,-0.015776537,-0.21836787,-0.21836787,-1.0265216,0.0
RHOBTB3,0.17322856,0.17322856,0.045079764,0.045079764,0.46516666,0.0
GLRX,0.7482776,0.7482776,0.66927254,0.66927254,-0.111897096,0.0
ELL2,0.3898665,0.3898665,0.28944093,0.28944093,0.12760599,0.0
CAST,-1.9621004,-1.9621004,-1.792127,-1.792127,0.5935012,0.0
ERAP1,0.59907764,0.59907764,0.46727502,0.46727502,0.12760599,0.0
ERAP2,-0.49904922,-0.49904922,-0.68752676,-0.68752676,0.12760599,0.0
RIOK2,1.2077686,1.2077686,1.2715212,1.2715212,0.31337905,0.0
RGMB,0.45170718,0.45170718,0.36008278,0.36008278,0.12760599,0.0
CHD1,1.0169276,1.0169276,1.0612515,1.0612515,0.12760599,0.0
PPIP5K2,-1.7775066,-1.7775066,-1.7132664,-1.7132664,-0.44945776,0.0
PJA2,-0.08062591,-0.08062591,-0.29060015,-0.29060015,0.12760599,0.0
WDR36,-0.17388278,-0.17388278,-0.25827834,-0.25827834,0.46516666,0.0
EPB41L4A,-0.26862454,-0.26862454,-0.28832984,-0.28832984,-1.0265216,0.0
APC,-2.3215065,-2.3215065,-1.9367785,-1.9367785,1.108868,0.0
DCP2,0.14563364,0.14563364,-0.046633124,-0.046633124,0.9697911,0.0
MCC,1.3997984,1.3997984,1.4897273,1.4897273,-1.0265216,0.0
PPIC,0.8662727,0.8662727,0.86983436,0.86983436,-1.0265216,0.0
ZNF608,0.55723065,0.55723065,0.84896004,0.84896004,-1.0265216,0.0
LMNB1,0.7732245,0.7732245,0.7073394,0.7073394,1.9334018,0.0
MARCH3,0.47631824,0.47631824,0.44021755,0.44021755,-1.0265216,0.0
FNIP1,-0.30105326,-0.30105326,-0.54574114,-0.54574114,0.12760599,0.0
ACSL6,0.09457435,0.09457435,-0.012938622,-0.012938622,0.31337905,0.0
CSF2,-1.6768237,-1.6768237,-1.6731768,-1.6731768,1.0422304,0.0
P4HA2,-0.202143,-0.202143,-0.39448953,-0.39448953,0.5935012,0.0
PDLIM4,-0.45639503,-0.45639503,-0.64581275,-0.64581275,-1.0265216,0.0
SLC22A5,0.27391124,0.27391124,0.07508293,0.07508293,0.5935012,0.0
IRF1,0.8738112,0.8738112,0.92195684,0.92195684,1.2280035,0.0
RAD50,-0.6031227,-0.6031227,-0.7920518,-0.7920518,2.0234926,0.0
LEAP2,-0.74999833,-0.74999833,-0.8060473,-0.8060473,-0.44945776,0.0
AFF4,0.44713846,0.44713846,0.36393768,0.36393768,0.12760599,0.0
HSPA4,1.128872,1.128872,1.1781418,1.1781418,0.12760599,0.0
DDX46,0.5210387,0.5210387,0.5097803,0.5097803,0.80272734,0.0
PITX1,0.69556195,0.69556195,0.89850295,0.89850295,-1.0265216,0.0
SMAD5,0.6403181,0.6403181,0.6316208,0.6316208,-0.111897096,0.0
PKD2L2,0.07927857,0.07927857,0.027129946,0.027129946,-1.0265216,0.0
BRD8,-0.5078995,-0.5078995,-0.60704243,-0.60704243,0.12760599,0.0
KIF20A,0.31380096,0.31380096,0.18237044,0.18237044,1.2280035,0.0
FAM53C,1.177588,1.177588,1.4164115,1.4164115,-1.0265216,0.0
REEP2,0.0017043023,0.0017043023,-0.11570666,-0.11570666,-1.0265216,0.0
EGR1,0.31380096,0.31380096,0.2861459,0.2861459,1.108868,0.0
HSPA9,-0.74999833,-0.74999833,-0.909192,-0.909192,1.332205,1.0
CTNNA1,-1.004546,-1.004546,-1.1843122,-1.1843122,1.5081258,0.0
LRRTM2,-1.3760831,-1.3760831,-1.4579606,-1.4579606,0.12760599,0.0
SIL1,0.20948659,0.20948659,0.12724392,0.12724392,-1.0265216,0.0
MATR3,0.5630857,0.5630857,0.4529696,0.4529696,-1.0265216,0.0
SLC23A1,-0.90386325,-0.90386325,-1.1298977,-1.1298977,-0.111897096,0.0
MZB1,-0.26862454,-0.26862454,-0.44450215,-0.44450215,-1.0265216,0.0
TMEM173,-0.9196747,-0.9196747,-1.1410288,-1.1410288,-1.0265216,0.0
CXXC5,0.78890777,0.78890777,0.78868824,0.78868824,0.12760599,0.0
NRG2,0.34627932,0.34627932,0.30597505,0.30597505,1.6859318,0.0
IGIP,-0.55390126,-0.55390126,-0.4429101,-0.4429101,-1.0265216,0.0
HBEGF,-0.54445714,-0.54445714,-0.7555927,-0.7555927,2.1239185,0.0
CD14,-2.449784,-2.449784,-1.9599715,-1.9599715,1.9796652,0.0
DND1,1.1840502,1.1840502,1.2672327,1.2672327,-1.0265216,0.0
HARS,0.2884186,0.2884186,0.18423171,0.18423171,-1.0265216,1.0
TAF7,0.01028486,0.01028486,-0.19171572,-0.19171572,1.2280035,0.0
DIAPH1,0.3923485,0.3923485,0.22386648,0.22386648,1.332205,0.0
ARAP3,0.69071513,0.69071513,0.63943946,0.63943946,0.7046697,0.0
SPRY4,0.6368263,0.6368263,0.5244759,0.5244759,-1.0265216,0.0
ARHGAP26,0.541375,0.541375,0.5017977,0.5017977,1.170565,0.0
NR3C1,0.7193071,0.7193071,0.7232567,0.7232567,1.332205,0.0
YIPF5,0.5533,0.5533,0.50827247,0.50827247,-1.0265216,1.0
KCTD16,-0.12571041,-0.12571041,-0.31440032,-0.31440032,-1.0265216,1.0
LARS,-0.44816607,-0.44816607,-0.67717034,-0.67717034,-1.0265216,0.0
SPINK5,-1.6314158,-1.6314158,-1.6753254,-1.6753254,-0.111897096,0.0
SPINK13,0.541375,0.541375,0.5686798,0.5686798,-1.0265216,0.0
HTR4,0.60276103,0.60276103,0.5021751,0.5021751,0.46516666,0.0
PDE6A,-0.9358496,-0.9358496,-1.0806744,-1.0806744,0.80272734,0.0
SLC26A2,-0.85845536,-0.85845536,-0.95230955,-0.95230955,0.9697911,0.0
HMGXB3,0.3773248,0.3773248,0.47938806,0.47938806,-1.0265216,0.0
CD74,-2.449784,-2.449784,-2.0361338,-2.0361338,0.31337905,0.0
RBM22,0.8299844,0.8299844,0.7963034,0.7963034,0.5935012,0.0
CCDC69,0.32206213,0.32206213,0.2738504,0.2738504,-1.0265216,0.0
SPARC,0.055692773,0.055692773,-0.11126889,-0.11126889,1.0422304,0.0
GALNT10,-0.070987545,-0.070987545,-0.14237256,-0.14237256,-0.111897096,0.0
FAXDC2,0.8675348,0.8675348,0.88198864,0.88198864,-1.0265216,0.0
HAVCR2,-2.8091903,-2.8091903,-2.1094317,-2.1094317,0.12760599,0.0
CLINT1,1.1366562,1.1366562,1.174402,1.174402,0.46516666,0.0
PWWP2A,0.26208612,0.26208612,0.14053898,0.14053898,-1.0265216,0.0
FABP6,0.7973172,0.7973172,0.7833153,0.7833153,0.80272734,0.0
SLU7,1.0811993,1.0811993,1.0842024,1.0842024,0.80272734,0.0
PTTG1,1.1409438,1.1409438,1.1627194,1.1627194,1.108868,0.0
GABRG2,-1.4073584,-1.4073584,-1.3015943,-1.3015943,0.5935012,0.0
HMMR,1.1201211,1.1201211,1.1716094,1.1716094,0.8904428,0.0
PANK3,0.022962118,0.022962118,-0.117693424,-0.117693424,-0.111897096,0.0
DOCK2,0.45170718,0.45170718,0.33012733,0.33012733,1.170565,0.0
LCP2,0.10209945,0.10209945,-0.0831869,-0.0831869,1.0422304,0.0
NPM1,-0.37077162,-0.37077162,-0.6195885,-0.6195885,1.7173518,0.0
FGF18,-1.3760831,-1.3760831,-1.3997867,-1.3997867,2.0234926,0.0
DUSP1,-0.11543897,-0.11543897,-0.2913024,-0.2913024,0.46516666,0.0
CREBRF,1.165309,1.165309,1.414912,1.414912,-0.111897096,0.0
STC2,-1.5887616,-1.5887616,-1.642971,-1.642971,-0.111897096,0.0
CPEB4,0.0060076653,0.0060076653,-0.18663107,-0.18663107,-1.0265216,0.0
NSG2,-0.31445518,-0.31445518,-0.53253525,-0.53253525,-1.0265216,0.0
CPLX2,-0.85845536,-0.85845536,-1.0962317,-1.0962317,-1.0265216,0.0
KIAA1191,1.1349337,1.1349337,1.3573879,1.3573879,-1.0265216,0.0
NOP16,0.17660294,0.17660294,0.18008243,0.18008243,-1.0265216,0.0
NSD1,0.35678092,0.35678092,0.27603376,0.27603376,0.12760599,0.0
LMAN2,-0.061479684,-0.061479684,-0.1866085,-0.1866085,0.7046697,0.0
RGS14,-0.9358496,-0.9358496,-1.1211759,-1.1211759,0.12760599,0.0
PRR7,0.19978179,0.19978179,0.0013803475,0.0013803475,-1.0265216,0.0
DOK3,1.0429521,1.0429521,1.0996025,1.0996025,-0.44945776,0.0
TMED9,0.26506093,0.26506093,0.21463746,0.21463746,0.8904428,0.0
HNRNPAB,0.68909234,0.68909234,0.59774387,0.59774387,-1.0265216,0.0
PHYKPL,0.37478948,0.37478948,0.31476086,0.31476086,0.31337905,0.0
CLK4,0.45850527,0.45850527,0.515089,0.515089,-1.0265216,0.0
RUFY1,0.7832453,0.7832453,0.72092456,0.72092456,0.31337905,0.0
HNRNPH1,1.3028837,1.3028837,1.4317958,1.4317958,1.0422304,0.0
CANX,-0.81580114,-0.81580114,-0.9644953,-0.9644953,1.8587973,0.0
SQSTM1,-1.6314158,-1.6314158,-1.6754255,-1.6754255,1.6532797,0.0
RNF130,-0.020215776,-0.020215776,-0.072318114,-0.072318114,0.12760599,0.0
RASGEF1C,-0.35626426,-0.35626426,-0.42371583,-0.42371583,-1.0265216,0.0
TRIM7,1.3089695,1.3089695,1.4665105,1.4665105,-1.0265216,0.0
TRIM52,0.46075678,0.46075678,0.3855853,0.3855853,-1.0265216,0.0
HUS1B,-2.8091903,-2.8091903,-2.1048975,-2.1048975,-1.0265216,0.0
SERPINB1,0.3898665,0.3898665,0.31484824,0.31484824,0.12760599,0.0
SERPINB9,1.1999509,1.1999509,1.224501,1.224501,-1.0265216,0.0
TUBB2A,0.743782,0.743782,0.7253984,0.7253984,2.6005564,0.0
TUBB2B,0.1058318,0.1058318,0.030957764,0.030957764,2.6005564,0.0
PXDC1,-3.094467,-3.094467,-2.1580563,-2.1580563,-1.0265216,0.0
SSR1,0.8837384,0.8837384,1.0565248,1.0565248,0.5935012,0.0
SNRNP48,1.2389425,1.2389425,1.3746076,1.3746076,0.31337905,0.0
GCNT2,-1.0608624,-1.0608624,-1.1872964,-1.1872964,-1.0265216,0.0
PAK1IP1,0.09078161,0.09078161,-0.058400344,-0.058400344,-1.0265216,0.0
TMEM170B,1.0784019,1.0784019,1.3138636,1.3138636,-1.0265216,0.0
ADTRP,-0.77558565,-0.77558565,-0.9863913,-0.9863913,-1.0265216,0.0
HIVEP1,1.2808089,1.2808089,1.5496616,1.5496616,-1.0265216,0.0
PHACTR1,0.2378223,0.2378223,0.062085982,0.062085982,-1.0265216,0.0
CD83,0.31931913,0.31931913,0.23496032,0.23496032,-1.0265216,0.0
JARID2,-0.71328133,-0.71328133,-0.9240703,-0.9240703,-0.44945776,0.0
MYLIP,0.36197332,0.36197332,0.25282943,0.25282943,0.80272734,0.0
GMPR,-0.57317865,-0.57317865,-0.77091867,-0.77091867,0.12760599,0.0
ATXN1,0.9856523,0.9856523,0.9531151,0.9531151,-1.0265216,0.0
TPMT,0.71462166,0.71462166,0.6570315,0.6570315,0.5935012,0.0
KDM1B,0.55723065,0.55723065,0.45963195,0.45963195,0.9697911,0.0
MBOAT1,-0.55390126,-0.55390126,-0.732158,-0.732158,0.46516666,0.0
SOX4,-0.024682859,-0.024682859,-0.16809584,-0.16809584,0.12760599,0.0
GMNN,1.0004207,1.0004207,0.9721191,0.9721191,1.0422304,0.0
FAM65B,-1.7253656,-1.7253656,-1.7358401,-1.7358401,-1.0265216,0.0
SCGN,1.1157043,1.1157043,1.1183687,1.1183687,-1.0265216,0.0
TRIM38,0.27975014,0.27975014,0.16693054,0.16693054,0.12760599,0.0
HIST1H1C,0.34096947,0.34096947,0.255554,0.255554,-1.0265216,0.0
HIST1H4C,0.5860307,0.5860307,0.564548,0.564548,-1.0265216,0.0
HIST1H2BC,1.1983771,1.1983771,1.2867842,1.2867842,-1.0265216,0.0
HIST1H2AC,1.258019,1.258019,1.4180874,1.4180874,-1.0265216,0.0
HIST1H1E,0.34627932,0.34627932,0.2608364,0.2608364,-1.0265216,0.0
HIST1H2BD,1.4138589,1.4138589,1.6247146,1.6247146,-1.0265216,0.0
HIST1H3D,0.87630624,0.87630624,0.8749673,0.8749673,-1.0265216,0.0
HIST1H4E,0.5860307,0.5860307,0.564548,0.564548,-1.0265216,0.0
HIST1H2BG,1.1983771,1.1983771,1.2867842,1.2867842,-1.0265216,0.0
HIST1H2AE,0.725506,0.725506,0.75739014,0.75739014,-1.0265216,0.0
HIST1H1D,-0.53513813,-0.53513813,-0.5994292,-0.5994292,-1.0265216,0.0
HIST1H4H,0.5860307,0.5860307,0.564548,0.564548,-1.0265216,0.0
BTN2A2,0.25308487,0.25308487,0.14601834,0.14601834,-0.44945776,0.0
BTN3A1,0.59165186,0.59165186,0.6121569,0.6121569,-0.44945776,0.0
BTN2A1,-0.17944491,-0.17944491,-0.25301364,-0.25301364,-0.44945776,0.0
HMGN4,1.0260453,1.0260453,1.1208011,1.1208011,-1.0265216,0.0
HIST1H2BJ,0.743782,0.743782,0.69862175,0.69862175,-1.0265216,0.0
HIST1H2AG,1.0390104,1.0390104,1.1506107,1.1506107,-1.0265216,0.0
HIST1H2BK,1.0087224,1.0087224,1.0492681,1.0492681,-1.0265216,0.0
HIST1H4I,0.5860307,0.5860307,0.564548,0.564548,-1.0265216,0.0
HIST1H2AH,0.14914255,0.14914255,0.23064823,0.23064823,-1.0265216,0.0
PRSS16,-1.3760831,-1.3760831,-1.4474978,-1.4474978,-1.0265216,0.0
HIST1H2AK,1.0390104,1.0390104,1.1506107,1.1506107,-1.0265216,0.0
HIST1H1B,0.55723065,0.55723065,0.47802323,0.47802323,-1.0265216,0.0
HIST1H2AM,1.0390104,1.0390104,1.1506107,1.1506107,-1.0265216,0.0
NKAPL,0.97382724,0.97382724,1.0686365,1.0686365,-1.0265216,0.0
GPX5,-1.2632694,-1.2632694,-1.3161691,-1.3161691,0.12760599,0.0
MOG,-0.024682859,-0.024682859,-0.0813759,-0.0813759,-1.0265216,0.0
HLA-A,-1.2129924,-1.2129924,-1.249093,-1.249093,1.5468549,0.0
TRIM31,0.7193071,0.7193071,0.6674706,0.6674706,0.12760599,0.0
HLA-E,-1.6314158,-1.6314158,-1.5397052,-1.5397052,1.3797911,0.0
PPP1R10,0.9197656,0.9197656,0.92158294,0.92158294,0.31337905,0.0
PPP1R18,0.9683855,0.9683855,1.0741941,1.0741941,-1.0265216,0.0
TUBB,-0.02917846,-0.02917846,-0.16200751,-0.16200751,1.4675065,0.0
FLOT1,-2.3215065,-2.3215065,-1.9832733,-1.9832733,1.108868,0.0
IER3,1.3269174,1.3269174,1.4284782,1.4284782,0.31337905,0.0
DDR1,-0.9358496,-0.9358496,-1.1065598,-1.1065598,-0.111897096,0.0
HLA-C,0.3923485,0.3923485,0.28851736,0.28851736,1.3797911,0.0
HLA-B,-0.23762502,-0.23762502,-0.41287825,-0.41287825,1.4675065,0.0
DDX39B,0.38236827,0.38236827,0.26877952,0.26877952,1.170565,0.0
LTB,-0.13613382,-0.13613382,-0.25106418,-0.25106418,0.12760599,0.0
LST1,-1.1660699,-1.1660699,-1.3318136,-1.3318136,-1.0265216,0.0
NCR3,0.5353354,0.5353354,0.49809256,0.49809256,-0.111897096,0.0
AIF1,-2.449784,-2.449784,-2.028599,-2.028599,-1.0265216,0.0
GPANK1,0.8083757,0.8083757,1.0473342,1.0473342,-1.0265216,0.0
C6orf25,0.999376,0.999376,0.98895234,0.98895234,-1.0265216,0.0
DDAH2,-0.006981936,-0.006981936,-0.21001254,-0.21001254,-1.0265216,0.0
CLIC1,0.4785134,0.4785134,0.32526556,0.32526556,-1.0265216,0.0
VWA7,-0.55390126,-0.55390126,-0.4429101,-0.4429101,-1.0265216,0.0
HSPA1A,-0.9693598,-0.9693598,-1.0244445,-1.0244445,1.5081258,0.0
HSPA1B,-0.6783861,-0.6783861,-0.793494,-0.793494,1.2817335,0.0
NEU1,-0.41617954,-0.41617954,-0.5713596,-0.5713596,1.0422304,0.0
C2,0.45398048,0.45398048,0.31586766,0.31586766,0.12760599,0.0
ZBTB12,0.96947724,0.96947724,1.1954219,1.1954219,-1.0265216,0.0
CYP21A2,-2.2130494,-2.2130494,-1.8909382,-1.8909382,0.8904428,0.0
ATF6B,0.4741161,0.4741161,0.6879046,0.6879046,-0.111897096,0.0
EGFL8,0.5630857,0.5630857,0.5709126,0.5709126,-1.0265216,0.0
GPSM3,0.9551517,0.9551517,0.9667167,0.9667167,0.12760599,0.0
HLA-DOB,-1.7253656,-1.7253656,-1.6988362,-1.6988362,-0.111897096,0.0
PSMB8,0.97165555,0.97165555,0.9569009,0.9569009,0.8904428,0.0
PSMB9,0.73317873,0.73317873,0.6915906,0.6915906,0.5935012,0.0
TAP1,0.541375,0.541375,0.3844467,0.3844467,0.46516666,0.0
BRD2,1.1611676,1.1611676,1.2397898,1.2397898,-0.111897096,0.0
COL11A2,-0.23762502,-0.23762502,-0.3060931,-0.3060931,1.2280035,0.0
SLC39A7,1.0035452,1.0035452,1.1012465,1.1012465,0.12760599,1.0
