src,dst
TRAM1,R-HSA-1799339|SRP-dependent cotranslational protein targeting to membrane
AURKA,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
AURKB,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
BIRC5,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
BLM,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
BRCA1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
CBX5,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
CDCA8,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
CHD3,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
CREBBP,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
DDX17,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
DDX5,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
EIF2AK2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
EP300,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
HERC2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
HIC1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
HIPK2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
IKBKE,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
MDM2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NFKB2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NFKBIA,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NPM1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NR3C1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NR4A2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NRIP1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NUP210,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
NUP214,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
PARP1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
PCNA,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
PPARA,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
RAD21,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
RANBP2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
RNF168,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SAFB,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SATB1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SMC1A,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SMC5,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SMC6,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SP100,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
STAG2,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
SUZ12,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TFAP2B,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
THRA,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
THRB,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TOP2A,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TOP2B,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TOPORS,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TP53BP1,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
TPR,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
VDR,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
AURKA,R-HSA-2990846|SUMOylation
AURKB,R-HSA-2990846|SUMOylation
BIRC5,R-HSA-2990846|SUMOylation
BLM,R-HSA-2990846|SUMOylation
BRCA1,R-HSA-2990846|SUMOylation
CBX5,R-HSA-2990846|SUMOylation
CDCA8,R-HSA-2990846|SUMOylation
CHD3,R-HSA-2990846|SUMOylation
CREBBP,R-HSA-2990846|SUMOylation
DDX17,R-HSA-2990846|SUMOylation
DDX5,R-HSA-2990846|SUMOylation
EIF2AK2,R-HSA-2990846|SUMOylation
EP300,R-HSA-2990846|SUMOylation
HERC2,R-HSA-2990846|SUMOylation
HIC1,R-HSA-2990846|SUMOylation
HIPK2,R-HSA-2990846|SUMOylation
IKBKE,R-HSA-2990846|SUMOylation
MDM2,R-HSA-2990846|SUMOylation
NFKB2,R-HSA-2990846|SUMOylation
NFKBIA,R-HSA-2990846|SUMOylation
NPM1,R-HSA-2990846|SUMOylation
NR3C1,R-HSA-2990846|SUMOylation
NR4A2,R-HSA-2990846|SUMOylation
NRIP1,R-HSA-2990846|SUMOylation
NUP210,R-HSA-2990846|SUMOylation
NUP214,R-HSA-2990846|SUMOylation
PARP1,R-HSA-2990846|SUMOylation
PCNA,R-HSA-2990846|SUMOylation
PPARA,R-HSA-2990846|SUMOylation
RAD21,R-HSA-2990846|SUMOylation
RANBP2,R-HSA-2990846|SUMOylation
RNF168,R-HSA-2990846|SUMOylation
RWDD3,R-HSA-2990846|SUMOylation
SAFB,R-HSA-2990846|SUMOylation
SATB1,R-HSA-2990846|SUMOylation
SMC1A,R-HSA-2990846|SUMOylation
SMC5,R-HSA-2990846|SUMOylation
SMC6,R-HSA-2990846|SUMOylation
SP100,R-HSA-2990846|SUMOylation
STAG2,R-HSA-2990846|SUMOylation
SUZ12,R-HSA-2990846|SUMOylation
TFAP2B,R-HSA-2990846|SUMOylation
THRA,R-HSA-2990846|SUMOylation
THRB,R-HSA-2990846|SUMOylation
TOP2A,R-HSA-2990846|SUMOylation
TOP2B,R-HSA-2990846|SUMOylation
TOPORS,R-HSA-2990846|SUMOylation
TP53BP1,R-HSA-2990846|SUMOylation
TPR,R-HSA-2990846|SUMOylation
VDR,R-HSA-2990846|SUMOylation
BLM,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
BRCA1,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
HERC2,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
NUP210,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
NUP214,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
PARP1,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
RAD21,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
RANBP2,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
RNF168,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
SMC1A,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
SMC5,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
SMC6,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
SP100,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
STAG2,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
TPR,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
AURKA,R-HSA-4615885|SUMOylation of DNA replication proteins
AURKB,R-HSA-4615885|SUMOylation of DNA replication proteins
BIRC5,R-HSA-4615885|SUMOylation of DNA replication proteins
CDCA8,R-HSA-4615885|SUMOylation of DNA replication proteins
NUP210,R-HSA-4615885|SUMOylation of DNA replication proteins
NUP214,R-HSA-4615885|SUMOylation of DNA replication proteins
PCNA,R-HSA-4615885|SUMOylation of DNA replication proteins
RANBP2,R-HSA-4615885|SUMOylation of DNA replication proteins
TOP2A,R-HSA-4615885|SUMOylation of DNA replication proteins
TOP2B,R-HSA-4615885|SUMOylation of DNA replication proteins
TPR,R-HSA-4615885|SUMOylation of DNA replication proteins
NUP210,R-HSA-4085377|SUMOylation of SUMOylation proteins
NUP214,R-HSA-4085377|SUMOylation of SUMOylation proteins
RANBP2,R-HSA-4085377|SUMOylation of SUMOylation proteins
TOPORS,R-HSA-4085377|SUMOylation of SUMOylation proteins
TPR,R-HSA-4085377|SUMOylation of SUMOylation proteins
CBX5,R-HSA-4551638|SUMOylation of chromatin organization proteins
CHD3,R-HSA-4551638|SUMOylation of chromatin organization proteins
NUP210,R-HSA-4551638|SUMOylation of chromatin organization proteins
NUP214,R-HSA-4551638|SUMOylation of chromatin organization proteins
RANBP2,R-HSA-4551638|SUMOylation of chromatin organization proteins
SATB1,R-HSA-4551638|SUMOylation of chromatin organization proteins
SUZ12,R-HSA-4551638|SUMOylation of chromatin organization proteins
TPR,R-HSA-4551638|SUMOylation of chromatin organization proteins
EIF2AK2,R-HSA-4755510|SUMOylation of immune response proteins
IKBKE,R-HSA-4755510|SUMOylation of immune response proteins
NFKB2,R-HSA-4755510|SUMOylation of immune response proteins
NFKBIA,R-HSA-4755510|SUMOylation of immune response proteins
TOPORS,R-HSA-4755510|SUMOylation of immune response proteins
NR3C1,R-HSA-4090294|SUMOylation of intracellular receptors
NR4A2,R-HSA-4090294|SUMOylation of intracellular receptors
PPARA,R-HSA-4090294|SUMOylation of intracellular receptors
THRA,R-HSA-4090294|SUMOylation of intracellular receptors
THRB,R-HSA-4090294|SUMOylation of intracellular receptors
VDR,R-HSA-4090294|SUMOylation of intracellular receptors
CREBBP,R-HSA-3899300|SUMOylation of transcription cofactors
DDX17,R-HSA-3899300|SUMOylation of transcription cofactors
DDX5,R-HSA-3899300|SUMOylation of transcription cofactors
EP300,R-HSA-3899300|SUMOylation of transcription cofactors
HIPK2,R-HSA-3899300|SUMOylation of transcription cofactors
NPM1,R-HSA-3899300|SUMOylation of transcription cofactors
NRIP1,R-HSA-3899300|SUMOylation of transcription cofactors
SAFB,R-HSA-3899300|SUMOylation of transcription cofactors
TOPORS,R-HSA-3899300|SUMOylation of transcription cofactors
MDM2,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
NUP210,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
NUP214,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
RANBP2,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
TPR,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
APOE,R-HSA-3000480|Scavenging by Class A Receptors
CALR,R-HSA-3000480|Scavenging by Class A Receptors
COL1A1,R-HSA-3000480|Scavenging by Class A Receptors
FTH1,R-HSA-3000480|Scavenging by Class A Receptors
FTL,R-HSA-3000480|Scavenging by Class A Receptors
HSP90B1,R-HSA-3000480|Scavenging by Class A Receptors
MASP1,R-HSA-3000480|Scavenging by Class A Receptors
CHMP4B,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
SPAST,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBA1A,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBA1B,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBA1C,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBA8,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBAL3,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBB1,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBB2A,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBB2B,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBB3,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
TUBB4B,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
ATM,R-HSA-9663891|Selective autophagy
DYNC1H1,R-HSA-9663891|Selective autophagy
EPAS1,R-HSA-9663891|Selective autophagy
HSP90AA1,R-HSA-9663891|Selective autophagy
HSPA8,R-HSA-9663891|Selective autophagy
IFT88,R-HSA-9663891|Selective autophagy
MAP1LC3B,R-HSA-9663891|Selective autophagy
NBR1,R-HSA-9663891|Selective autophagy
OPTN,R-HSA-9663891|Selective autophagy
PCNT,R-HSA-9663891|Selective autophagy
PLIN2,R-HSA-9663891|Selective autophagy
PLIN3,R-HSA-9663891|Selective autophagy
RPS27A,R-HSA-9663891|Selective autophagy
SQSTM1,R-HSA-9663891|Selective autophagy
TUBA1A,R-HSA-9663891|Selective autophagy
TUBA1B,R-HSA-9663891|Selective autophagy
TUBA1C,R-HSA-9663891|Selective autophagy
TUBA8,R-HSA-9663891|Selective autophagy
TUBAL3,R-HSA-9663891|Selective autophagy
TUBB1,R-HSA-9663891|Selective autophagy
TUBB2A,R-HSA-9663891|Selective autophagy
TUBB2B,R-HSA-9663891|Selective autophagy
TUBB3,R-HSA-9663891|Selective autophagy
TUBB4B,R-HSA-9663891|Selective autophagy
UBC,R-HSA-9663891|Selective autophagy
UBE2V1,R-HSA-9663891|Selective autophagy
ULK1,R-HSA-9663891|Selective autophagy
VCP,R-HSA-9663891|Selective autophagy
VIM,R-HSA-9663891|Selective autophagy
CTH,R-HSA-2408522|Selenoamino acid metabolism
GNMT,R-HSA-2408522|Selenoamino acid metabolism
HNMT,R-HSA-2408522|Selenoamino acid metabolism
NNMT,R-HSA-2408522|Selenoamino acid metabolism
PAPSS1,R-HSA-2408522|Selenoamino acid metabolism
RPL10,R-HSA-2408522|Selenoamino acid metabolism
RPL12,R-HSA-2408522|Selenoamino acid metabolism
RPL13A,R-HSA-2408522|Selenoamino acid metabolism
RPL14,R-HSA-2408522|Selenoamino acid metabolism
RPL17,R-HSA-2408522|Selenoamino acid metabolism
RPL22L1,R-HSA-2408522|Selenoamino acid metabolism
RPL26,R-HSA-2408522|Selenoamino acid metabolism
RPL28,R-HSA-2408522|Selenoamino acid metabolism
RPL32,R-HSA-2408522|Selenoamino acid metabolism
RPL34,R-HSA-2408522|Selenoamino acid metabolism
RPL36A,R-HSA-2408522|Selenoamino acid metabolism
RPL37,R-HSA-2408522|Selenoamino acid metabolism
RPL37A,R-HSA-2408522|Selenoamino acid metabolism
RPL38,R-HSA-2408522|Selenoamino acid metabolism
RPL39,R-HSA-2408522|Selenoamino acid metabolism
RPL39L,R-HSA-2408522|Selenoamino acid metabolism
RPL41,R-HSA-2408522|Selenoamino acid metabolism
RPL7,R-HSA-2408522|Selenoamino acid metabolism
RPS10,R-HSA-2408522|Selenoamino acid metabolism
RPS12,R-HSA-2408522|Selenoamino acid metabolism
RPS15A,R-HSA-2408522|Selenoamino acid metabolism
RPS16,R-HSA-2408522|Selenoamino acid metabolism
RPS18,R-HSA-2408522|Selenoamino acid metabolism
RPS21,R-HSA-2408522|Selenoamino acid metabolism
RPS23,R-HSA-2408522|Selenoamino acid metabolism
RPS24,R-HSA-2408522|Selenoamino acid metabolism
RPS26,R-HSA-2408522|Selenoamino acid metabolism
RPS27,R-HSA-2408522|Selenoamino acid metabolism
RPS27A,R-HSA-2408522|Selenoamino acid metabolism
RPS28,R-HSA-2408522|Selenoamino acid metabolism
RPS29,R-HSA-2408522|Selenoamino acid metabolism
RPS3A,R-HSA-2408522|Selenoamino acid metabolism
RPS6,R-HSA-2408522|Selenoamino acid metabolism
RPS8,R-HSA-2408522|Selenoamino acid metabolism
SEPHS2,R-HSA-2408522|Selenoamino acid metabolism
TXNRD1,R-HSA-2408522|Selenoamino acid metabolism
RPL10,R-HSA-2408557|Selenocysteine synthesis
RPL12,R-HSA-2408557|Selenocysteine synthesis
RPL13A,R-HSA-2408557|Selenocysteine synthesis
RPL14,R-HSA-2408557|Selenocysteine synthesis
RPL17,R-HSA-2408557|Selenocysteine synthesis
RPL22L1,R-HSA-2408557|Selenocysteine synthesis
RPL26,R-HSA-2408557|Selenocysteine synthesis
RPL28,R-HSA-2408557|Selenocysteine synthesis
RPL32,R-HSA-2408557|Selenocysteine synthesis
RPL34,R-HSA-2408557|Selenocysteine synthesis
RPL36A,R-HSA-2408557|Selenocysteine synthesis
RPL37,R-HSA-2408557|Selenocysteine synthesis
RPL37A,R-HSA-2408557|Selenocysteine synthesis
RPL38,R-HSA-2408557|Selenocysteine synthesis
RPL39,R-HSA-2408557|Selenocysteine synthesis
RPL39L,R-HSA-2408557|Selenocysteine synthesis
RPL41,R-HSA-2408557|Selenocysteine synthesis
RPL7,R-HSA-2408557|Selenocysteine synthesis
RPS10,R-HSA-2408557|Selenocysteine synthesis
RPS12,R-HSA-2408557|Selenocysteine synthesis
RPS15A,R-HSA-2408557|Selenocysteine synthesis
RPS16,R-HSA-2408557|Selenocysteine synthesis
RPS18,R-HSA-2408557|Selenocysteine synthesis
RPS21,R-HSA-2408557|Selenocysteine synthesis
RPS23,R-HSA-2408557|Selenocysteine synthesis
RPS24,R-HSA-2408557|Selenocysteine synthesis
RPS26,R-HSA-2408557|Selenocysteine synthesis
RPS27,R-HSA-2408557|Selenocysteine synthesis
RPS27A,R-HSA-2408557|Selenocysteine synthesis
RPS28,R-HSA-2408557|Selenocysteine synthesis
RPS29,R-HSA-2408557|Selenocysteine synthesis
RPS3A,R-HSA-2408557|Selenocysteine synthesis
RPS6,R-HSA-2408557|Selenocysteine synthesis
RPS8,R-HSA-2408557|Selenocysteine synthesis
SEPHS2,R-HSA-2408557|Selenocysteine synthesis
FES,R-HSA-399954|Sema3A PAK dependent Axon repulsion
FYN,R-HSA-399954|Sema3A PAK dependent Axon repulsion
HSP90AA1,R-HSA-399954|Sema3A PAK dependent Axon repulsion
HSP90AB1,R-HSA-399954|Sema3A PAK dependent Axon repulsion
PAK2,R-HSA-399954|Sema3A PAK dependent Axon repulsion
PLXNA1,R-HSA-399954|Sema3A PAK dependent Axon repulsion
ARHGAP35,R-HSA-400685|Sema4D in semaphorin signaling
ARHGEF11,R-HSA-400685|Sema4D in semaphorin signaling
ARHGEF12,R-HSA-400685|Sema4D in semaphorin signaling
MYH10,R-HSA-400685|Sema4D in semaphorin signaling
MYH11,R-HSA-400685|Sema4D in semaphorin signaling
MYH14,R-HSA-400685|Sema4D in semaphorin signaling
MYH9,R-HSA-400685|Sema4D in semaphorin signaling
MYL9,R-HSA-400685|Sema4D in semaphorin signaling
RHOB,R-HSA-400685|Sema4D in semaphorin signaling
RHOC,R-HSA-400685|Sema4D in semaphorin signaling
ROCK1,R-HSA-400685|Sema4D in semaphorin signaling
ROCK2,R-HSA-400685|Sema4D in semaphorin signaling
RRAS,R-HSA-400685|Sema4D in semaphorin signaling
SEMA4D,R-HSA-400685|Sema4D in semaphorin signaling
ARHGEF11,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
ARHGEF12,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
MYH10,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
MYH11,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
MYH14,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
MYH9,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
MYL9,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
RHOB,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
RHOC,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
ROCK1,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
ROCK2,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
SEMA4D,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
ARHGAP35,R-HSA-373755|Semaphorin interactions
ARHGEF11,R-HSA-373755|Semaphorin interactions
ARHGEF12,R-HSA-373755|Semaphorin interactions
DPYSL2,R-HSA-373755|Semaphorin interactions
FES,R-HSA-373755|Semaphorin interactions
FYN,R-HSA-373755|Semaphorin interactions
GSK3B,R-HSA-373755|Semaphorin interactions
HSP90AA1,R-HSA-373755|Semaphorin interactions
HSP90AB1,R-HSA-373755|Semaphorin interactions
ITGB1,R-HSA-373755|Semaphorin interactions
MYH10,R-HSA-373755|Semaphorin interactions
MYH11,R-HSA-373755|Semaphorin interactions
MYH14,R-HSA-373755|Semaphorin interactions
MYH9,R-HSA-373755|Semaphorin interactions
MYL9,R-HSA-373755|Semaphorin interactions
PAK2,R-HSA-373755|Semaphorin interactions
PLXNA1,R-HSA-373755|Semaphorin interactions
PTPRC,R-HSA-373755|Semaphorin interactions
RHOB,R-HSA-373755|Semaphorin interactions
RHOC,R-HSA-373755|Semaphorin interactions
ROCK1,R-HSA-373755|Semaphorin interactions
ROCK2,R-HSA-373755|Semaphorin interactions
RRAS,R-HSA-373755|Semaphorin interactions
SEMA4D,R-HSA-373755|Semaphorin interactions
SEMA7A,R-HSA-373755|Semaphorin interactions
TLN1,R-HSA-373755|Semaphorin interactions
TYROBP,R-HSA-373755|Semaphorin interactions
ANAPC16,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CCNA2,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CDK6,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CDKN1A,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CDKN2C,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CDKN2D,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
CEBPB,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
EHMT1,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
FOS,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
IGFBP7,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
JUN,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
RPS27A,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
STAT3,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
UBC,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
UBE2S,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
ACTB,R-HSA-9709957|Sensory Perception
ACTG1,R-HSA-9709957|Sensory Perception
ADCY3,R-HSA-9709957|Sensory Perception
AKR1C1,R-HSA-9709957|Sensory Perception
AKR1C3,R-HSA-9709957|Sensory Perception
APOE,R-HSA-9709957|Sensory Perception
BCO2,R-HSA-9709957|Sensory Perception
CALM1,R-HSA-9709957|Sensory Perception
CNGA1,R-HSA-9709957|Sensory Perception
DHRS9,R-HSA-9709957|Sensory Perception
EPB41L1,R-HSA-9709957|Sensory Perception
EPS8,R-HSA-9709957|Sensory Perception
ESPN,R-HSA-9709957|Sensory Perception
EZR,R-HSA-9709957|Sensory Perception
GNB3,R-HSA-9709957|Sensory Perception
GPC1,R-HSA-9709957|Sensory Perception
GRK7,R-HSA-9709957|Sensory Perception
GSN,R-HSA-9709957|Sensory Perception
LDLR,R-HSA-9709957|Sensory Perception
LRP10,R-HSA-9709957|Sensory Perception
LRP12,R-HSA-9709957|Sensory Perception
MSN,R-HSA-9709957|Sensory Perception
MYH9,R-HSA-9709957|Sensory Perception
MYO7A,R-HSA-9709957|Sensory Perception
OR1E1,R-HSA-9709957|Sensory Perception
OR2T33,R-HSA-9709957|Sensory Perception
OR2T6,R-HSA-9709957|Sensory Perception
OR7D2,R-HSA-9709957|Sensory Perception
OR8D1,R-HSA-9709957|Sensory Perception
OR8D2,R-HSA-9709957|Sensory Perception
OR8G5,R-HSA-9709957|Sensory Perception
PCLO,R-HSA-9709957|Sensory Perception
PDE6A,R-HSA-9709957|Sensory Perception
PDE6G,R-HSA-9709957|Sensory Perception
PLB1,R-HSA-9709957|Sensory Perception
PLCB2,R-HSA-9709957|Sensory Perception
PRKCA,R-HSA-9709957|Sensory Perception
RDH10,R-HSA-9709957|Sensory Perception
REEP1,R-HSA-9709957|Sensory Perception
RGS9,R-HSA-9709957|Sensory Perception
SAG,R-HSA-9709957|Sensory Perception
SCN1B,R-HSA-9709957|Sensory Perception
SCN9A,R-HSA-9709957|Sensory Perception
SDC1,R-HSA-9709957|Sensory Perception
SDC2,R-HSA-9709957|Sensory Perception
SDC3,R-HSA-9709957|Sensory Perception
SDC4,R-HSA-9709957|Sensory Perception
SLC24A1,R-HSA-9709957|Sensory Perception
SPTAN1,R-HSA-9709957|Sensory Perception
SPTBN1,R-HSA-9709957|Sensory Perception
STRA6,R-HSA-9709957|Sensory Perception
SYP,R-HSA-9709957|Sensory Perception
TAS2R5,R-HSA-9709957|Sensory Perception
TRPM4,R-HSA-9709957|Sensory Perception
TWF1,R-HSA-9709957|Sensory Perception
USH1G,R-HSA-9709957|Sensory Perception
VAMP2,R-HSA-9709957|Sensory Perception
GNB3,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
PLCB2,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
SCN1B,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
SCN9A,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
TAS2R5,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
TRPM4,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
GNB3,R-HSA-9717189|Sensory perception of taste
PLCB2,R-HSA-9717189|Sensory perception of taste
SCN1B,R-HSA-9717189|Sensory perception of taste
SCN9A,R-HSA-9717189|Sensory perception of taste
TAS2R5,R-HSA-9717189|Sensory perception of taste
TRPM4,R-HSA-9717189|Sensory perception of taste
ACTB,R-HSA-9659379|Sensory processing of sound
ACTG1,R-HSA-9659379|Sensory processing of sound
EPB41L1,R-HSA-9659379|Sensory processing of sound
EPS8,R-HSA-9659379|Sensory processing of sound
ESPN,R-HSA-9659379|Sensory processing of sound
EZR,R-HSA-9659379|Sensory processing of sound
GSN,R-HSA-9659379|Sensory processing of sound
MSN,R-HSA-9659379|Sensory processing of sound
MYH9,R-HSA-9659379|Sensory processing of sound
MYO7A,R-HSA-9659379|Sensory processing of sound
PCLO,R-HSA-9659379|Sensory processing of sound
SPTAN1,R-HSA-9659379|Sensory processing of sound
SPTBN1,R-HSA-9659379|Sensory processing of sound
SYP,R-HSA-9659379|Sensory processing of sound
TWF1,R-HSA-9659379|Sensory processing of sound
USH1G,R-HSA-9659379|Sensory processing of sound
VAMP2,R-HSA-9659379|Sensory processing of sound
ACTB,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
ACTG1,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
EPB41L1,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
EPS8,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
ESPN,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
EZR,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
MSN,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
MYH9,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
MYO7A,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
PCLO,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
SPTAN1,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
SPTBN1,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
SYP,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
TWF1,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
USH1G,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
VAMP2,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
ACTB,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
ACTG1,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
EPB41L1,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
EPS8,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
ESPN,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
EZR,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
GSN,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
MSN,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
MYH9,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
